"","X.1","X","date","time","impressions","likes","shares","total_clicks","engagements","description","other_clicks","photo_views","comments","reach","vectorific","isOc","weekday"
"1",1,1,2022-02-07,"09:02",2521,77,10,84,92,"What goes in a soup, salad, or sandwich is a social construct. 

A roadmap to every discussion of this type.
""Is X a Y? (Despite falling outside of it by obvious convention.)""
""No, (I say this intuitively because it's against my unexpressed usage conventions)""
""But it follows some abstract rule that you might use to define that linguistic category! If you don't accept that rule, what rule do you accept?""
*Foolish sod tried to come up with some rule, falling for the idealist trap.*
""But there's a counterexample to that rule, or that rule would include such or such unconventional thing that doesn't fall into the category""
Continue ad nauseum.

The whole mess came from trying to define some platonic form of soups or whatever, when what goes in a soup, salad, or sandwich is a social construct. We just call things soups cuz that's what we call things like that.",68,16,5,2395,1,TRUE,"Monday"
"2",2,2,2022-02-07,"14:02",1322,36,6,99,42,"",32,67,0,1256,2,FALSE,"Monday"
"3",3,3,2022-02-07,"19:02",936,24,0,17,26,"OC
When your prayer has whack error bars",11,6,2,901,3,TRUE,"Monday"
"4",4,4,2022-02-08,"10:02",1889,99,10,103,111,"",70,33,2,1789,4,FALSE,"Tuesday"
"5",5,5,2022-02-08,"17:02",1117,50,6,56,57,"",34,22,1,1098,5,FALSE,"Tuesday"
"6",6,6,2022-02-09,"18:02",1325,37,10,115,47,"Shilled for a copy with these in it. Worth it.",63,52,0,1251,6,FALSE,"Wednesday"
"7",7,7,2022-02-11,"11:02",1445,42,6,100,49,"OC",40,60,1,1372,7,TRUE,"Friday"
"8",8,8,2022-02-11,"13:02",1289,60,8,46,68,"",30,16,0,1225,8,FALSE,"Friday"
"9",9,9,2022-02-11,"17:02",1003,38,0,68,41,"",67,NA,3,963,9,FALSE,"Friday"
"10",10,10,2022-02-12,"15:02",1870,33,10,96,47,"",57,39,4,1796,10,FALSE,"Saturday"
"11",11,11,2022-02-13,"10:02",1189,43,7,84,51,"The industrial revolution and its consequences have been a disaster for the human race.",62,22,1,1133,11,FALSE,"Sunday"
"12",12,12,2022-02-13,"15:02",2167,52,6,199,59,"OC",45,154,1,2071,12,TRUE,"Sunday"
"13",13,13,2022-02-15,"07:02",873,31,3,37,34,"",21,16,0,873,13,FALSE,"Tuesday"
"14",14,14,2022-02-15,"19:02",2348,94,15,60,109,"Not OC",42,18,0,2246,14,TRUE,"Tuesday"
"15",15,15,2022-02-15,"22:02",1061,14,4,30,18,"",17,13,0,1023,15,FALSE,"Tuesday"
"16",16,16,2022-02-16,"08:02",4469,124,27,170,169,"NONTEMPORAL ENTITIES THE MOST TOXIC FANDOM CONFIRMED!
o.c.",128,42,18,4399,16,FALSE,"Wednesday"
"17",17,17,2022-02-16,"18:02",1636,27,2,142,29,"",48,94,0,1586,17,FALSE,"Wednesday"
"18",18,18,2022-02-16,"23:02",1277,23,4,30,27,"",23,7,0,1253,18,FALSE,"Wednesday"
"19",19,19,2022-02-17,"11:02",1821,52,7,189,61,"Probably already been done",56,133,2,1770,19,FALSE,"Thursday"
"20",20,20,2022-02-17,"19:02",2274,107,13,273,125,"",204,69,5,2193,20,FALSE,"Thursday"
"21",21,21,2022-02-17,"19:02",1122,14,3,10,17,"Biblically accurate Krebs
OC",7,3,0,1081,21,TRUE,"Thursday"
"22",22,22,2022-02-17,"21:02",1538,22,5,62,28,"",23,39,1,1464,22,FALSE,"Thursday"
"23",23,23,2022-02-18,"10:02",1434,18,2,47,20,"",34,13,0,1392,23,FALSE,"Friday"
"24",24,24,2022-02-18,"20:02",1543,35,5,29,41,"Pyruvate lil beitch 
OC",21,8,1,1458,24,TRUE,"Friday"
"25",25,25,2022-02-19,"12:02",1547,53,1,34,54,"",8,26,0,1526,25,FALSE,"Saturday"
"26",26,26,2022-02-19,"20:02",1130,4,2,6,7,"""Bruh you're like 3 hours late bringing the acetyl group. What were you doing?
OC",1,5,1,1122,26,TRUE,"Saturday"
"27",27,27,2022-02-20,"21:02",65886,2306,339,4138,2850,"",3265,873,205,62620,27,FALSE,"Sunday"
"28",28,28,2022-02-21,"14:02",1171,12,3,13,16,"Dore is always so gud",11,2,1,1119,28,FALSE,"Monday"
"29",29,29,2022-02-21,"16:02",1401,40,3,38,45,"absolute unit",20,NA,2,1309,29,FALSE,"Monday"
"30",30,30,2022-02-22,"04:02",2063,46,8,147,56,"",81,66,2,1964,30,FALSE,"Tuesday"
"31",31,31,2022-02-22,"19:02",17400,690,145,2327,974,"",1752,575,139,16796,31,FALSE,"Tuesday"
"32",32,32,2022-02-23,"21:02",538,13,3,12,17,"Guys WWIII just dropped!",3,9,1,498,32,FALSE,"Wednesday"
"33",33,33,2022-02-23,"21:02",1737,53,3,56,56,"",32,24,0,1628,33,FALSE,"Wednesday"
"34",34,34,2022-02-24,"07:02",951,21,3,39,24,"",28,11,0,879,34,FALSE,"Thursday"
"35",35,35,2022-02-24,"14:02",1172,27,2,70,33,"",38,32,4,1100,35,FALSE,"Thursday"
"36",36,36,2022-02-24,"16:02",2251,33,5,357,42,"Dang, there were other forms of power than money?",117,240,4,2085,36,FALSE,"Thursday"
"37",37,37,2022-02-25,"23:02",2121,51,2,609,55,"",314,295,2,2006,37,FALSE,"Friday"
"38",38,38,2022-02-26,"13:02",1504,43,9,102,52,"",67,35,0,1432,38,FALSE,"Saturday"
"39",39,39,2022-02-27,"16:02",1933,43,8,40,51,"oC",22,18,0,1852,39,FALSE,"Sunday"
"40",40,40,2022-02-27,"18:02",1743,23,3,46,26,"",10,36,0,1673,40,FALSE,"Sunday"
"41",41,41,2022-02-27,"19:02",1461,39,5,37,50,"We want justice",27,10,6,1351,41,FALSE,"Sunday"
"42",42,42,2022-02-27,"20:02",1959,19,1,129,21,"Someone has been plagiarizing me",66,63,1,1840,42,FALSE,"Sunday"
"43",43,43,2022-02-28,"10:02",2051,37,7,243,56,"",243,NA,12,2009,43,FALSE,"Monday"
"44",44,44,2022-02-28,"14:02",2430,51,8,79,71,"Blatantly stolen",52,27,12,2246,44,FALSE,"Monday"
"45",45,45,2022-02-28,"18:02",1032,15,0,39,16,"Body with too many organs",32,7,1,1028,45,FALSE,"Monday"
"46",46,46,2022-02-28,"19:02",1101,29,2,19,31,"",12,7,0,1074,46,FALSE,"Monday"
"47",47,47,2022-03-02,"14:03",2416,140,27,178,167,"",124,54,0,2282,47,FALSE,"Wednesday"
"48",48,48,2022-03-02,"21:03",1605,38,5,78,43,"",49,29,0,1584,48,FALSE,"Wednesday"
"49",49,49,2022-03-02,"21:03",1590,61,12,99,73,"",56,43,0,1556,49,FALSE,"Wednesday"
"50",50,50,2022-03-02,"21:03",1662,98,12,132,113,"",59,73,3,1617,50,FALSE,"Wednesday"
"51",51,51,2022-03-03,"12:03",1128,33,3,53,37,"",43,10,1,1126,51,FALSE,"Thursday"
"52",52,52,2022-03-03,"18:03",1389,52,11,78,64,"",48,30,1,1326,52,FALSE,"Thursday"
"53",53,53,2022-03-03,"20:03",1571,30,2,30,34,"OC",16,14,2,1518,53,TRUE,"Thursday"
"54",54,54,2022-03-03,"21:03",1288,19,0,16,20,"",11,5,1,1238,54,FALSE,"Thursday"
"55",55,55,2022-03-04,"12:03",871,6,0,28,6,"",16,12,0,855,55,FALSE,"Friday"
"56",56,56,2022-03-04,"18:03",3038,129,18,131,174,"",95,36,27,2875,56,FALSE,"Friday"
"57",57,57,2022-03-04,"20:03",1224,78,9,97,87,"",67,30,0,1196,57,FALSE,"Friday"
"58",58,58,2022-03-04,"22:03",1861,75,14,73,89,"microplastique",37,36,0,1815,58,FALSE,"Friday"
"59",59,59,2022-03-05,"10:03",1287,28,1,58,29,"",36,22,0,1245,59,FALSE,"Saturday"
"60",60,60,2022-03-05,"11:03",3402,130,22,209,165,"Simulation theory is just neo-neo-platonism, change my mind",142,67,13,3269,60,FALSE,"Saturday"
"61",61,61,2022-03-05,"13:03",1937,72,9,175,82,"",134,41,1,1897,61,FALSE,"Saturday"
"62",62,62,2022-03-06,"01:03",1934,84,12,77,96,"",44,33,0,1915,62,FALSE,"Sunday"
"63",63,63,2022-03-06,"20:03",3663,140,30,159,174,"Stolen from somewhere",110,48,4,3428,63,FALSE,"Sunday"
"64",64,64,2022-03-06,"21:03",1091,14,1,4,15,"Everyone who played this game chose to mercilessly drop this penguin off a cliff just to see if we could.",2,2,0,1054,64,FALSE,"Sunday"
"65",65,65,2022-03-07,"13:03",1019,12,1,13,13,"*Kermit voice* you should be a monster",6,7,0,969,65,FALSE,"Monday"
"66",66,66,2022-03-08,"19:03",2092,60,5,182,68,"",91,91,3,2079,66,FALSE,"Tuesday"
"67",67,67,2022-03-08,"20:03",1635,57,8,63,65,"",42,21,0,1604,67,FALSE,"Tuesday"
"68",68,68,2022-03-09,"17:03",1868,85,9,94,99,"",74,20,5,1803,68,FALSE,"Wednesday"
"69",69,69,2022-03-10,"23:03",1769,47,6,46,54,"",34,12,1,1739,69,FALSE,"Thursday"
"70",70,70,2022-03-11,"13:03",1335,15,1,33,16,"",24,9,0,1305,70,FALSE,"Friday"
"71",71,71,2022-03-12,"20:03",1393,28,4,25,32,"",16,9,0,1358,71,FALSE,"Saturday"
"72",72,72,2022-03-13,"13:03",1051,9,1,64,10,"",26,38,0,1001,72,FALSE,"Sunday"
"73",73,73,2022-03-13,"17:03",1063,16,4,77,22,"New capeshit was aight",35,42,2,1039,73,FALSE,"Sunday"
