"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,"Reproducciones de vídeo de 60 segundos","Segundos reproducidos","Segundos reproducidos de media",Comentarios,"Me gusta","Veces compartido",Interacciones,"Reproducción de vídeo de 3 segundos","Tiempo medio dedicado al artículo","Total de clics","Personas alcanzadas","Otros clics","Visualizaciones de fotos","Profundidad de desplazamiento diaria en el artículo","Clics en el enlace","Comentarios negativos únicos de los usuarios: Ocultar","Comentarios negativos únicos de los usuarios: Ocultar todo"
292933512355925,103185414664070,"Philosophical Gym Bro","Sigmund Freud's Dank Meme Stash 2: Daddy's Return",,0,"04/14/2021 19:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02hwMvt8mM9yzrnFcvxd9N9MHMut8WRggMfFAaEABah8N9fjGqELZyLfPz7sDrV7Yel,0,Otro,,,,,Total,39,0,0,0,0,8,0,8,0,0,1,38,,1,0,,,
293531255629484,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"04/15/2021 19:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02BgFDq4RKL9TrzvTrXcC53SEFuazBtrbwAb9Q5AesammELazNgaCBrxyXiWK2bFfVl,0,Foto,,,,,Total,39,0,0,0,0,11,1,12,0,0,0,38,,,0,,,
293535492295727,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"04/15/2021 19:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0WuHMAkoXFoPMm1ChnZ2z4nsT1yGR74SfB4dWxczhVeUNvx6isdMv5p1PGi7sAZGdl,0,Foto,,,,,Total,39,0,0,0,0,24,1,25,0,0,0,38,,,0,,,
294215795561030,103185414664070,"Philosophical Gym Bro","Useless, Unsuccessful, and/or Unpopular Real Ads","When you haven't done the reading but you watched a YouTube video on the topic",0,"04/16/2021 23:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02jVZy5YBBzT6NZMXLjP8BRnWSdQCJs8mykAP3udFLpU574oVZ5P2H6gWNpkjb4KmHl,0,Otro,,,,,Total,40,0,0,0,0,9,1,10,0,0,1,38,,1,0,,,
294730595509550,103185414664070,"Philosophical Gym Bro",,"Ya boi has a dark past.
o.c.",0,"04/17/2021 18:04",N/A,https://www.facebook.com/GymKingSadBoi/photos/a.103875024595109/294730595509550/?type=3,0,Foto,,,,,Total,41,0,0,0,0,14,0,14,0,0,0,40,,,0,,,
294748562174420,103185414664070,"Philosophical Gym Bro",,"no gains were harmed in the making of this meme
OC",0,"04/18/2021 08:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02fkZwSqX1KVas9v5WGjgjHttmMfoA3AXRFJN8f5mU4koH5BhRW3XnCFLdvWYEk9Zgl,0,Foto,,,,,Total,77,0,0,0,0,7,2,9,0,0,0,74,,,0,,,
295159895466620,103185414664070,"Philosophical Gym Bro",,"What it's like drinking a red bull (for people without a ridiculous amount of caffeine tolerance from working night shift.)
O.C.",0,"04/18/2021 12:04",N/A,https://www.facebook.com/GymKingSadBoi/photos/a.103875024595109/295159895466620/?type=3,0,Foto,,,,,Total,265,0,0,0,5,33,12,50,0,0,9,250,9,,0,,,
295279402121336,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"04/18/2021 17:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02HqFgDaeaAkNqP6Eaz6va17feSbc9gJTxxa77kaVEFAwJwxHRLmMQZrvcHyQKmnYPl,0,Foto,,,,,Total,40,0,0,0,0,24,1,25,0,0,0,39,,,0,,,
296307148685228,103185414664070,"Philosophical Gym Bro",,"He managed to look incredibly disillusioned even at this own wedding.",0,"04/20/2021 11:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0z7FyssL1Rg1ybA4kazsWUA13fUJHLJ7wTYo3BBEjYeQsmaLJJebcuHfRjYuYByZ9l,0,Foto,,,,,Total,54,0,0,0,0,16,6,22,0,0,0,49,,,0,,,
296947075287902,103185414664070,"Philosophical Gym Bro",,"Output has been low because it's almost finals week",0,"04/21/2021 13:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02bKAGB9cD9jHiH2F3RM9k9Zbc7MgFrjrHnytuyBHwxE7z2gi421GKmosCSmTXPiURl,0,Foto,,,,,Total,50,0,0,0,0,21,1,22,0,0,0,46,,,0,,,
