"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Profundidad de desplazamiento diaria en el artículo","Tiempo medio dedicado al artículo","Total de clics","Segundos reproducidos de media","Reproducción de vídeo de 3 segundos","Reproducciones de vídeo de 60 segundos","Segundos reproducidos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Personas alcanzadas",Impresiones,"Otros clics","Visualizaciones de fotos","Clics en el enlace"
246398100342800,103185414664070,"Philosophical Gym Bro",,"Alternate text- Going to the gym for an hour every day. 
O.C.",0,"01/30/2021 07:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0QfgqGVEdasnf34TpgaLBAsaHsspCtBuMNs9jyEwTjh72GUah1Vo1YwK9ppNqRTT2l,0,Foto,,,,,Total,0,0,0,0,0,0,0,3,13,2,18,6,6,,,
246938773622066,103185414664070,"Philosophical Gym Bro",,,0,"01/30/2021 11:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0dJNtWBkc1uFEv5XAQnY3D2yFU6cBDeEnJjueKoZkHgxLStLYBeKrGdkmSXNZERb8l,0,Texto,,,,,Total,0,0,0,0,0,0,0,0,10,0,10,3,3,,,
247013620281248,103185414664070,"Philosophical Gym Bro",,"OC
1. Jung was right
2. Anyone who thinks Jung was right is either an astrology girl in her first psych class, or some nerd who's seen SW and LoTR too many times. Both should be avoided at all costs",0,"01/31/2021 10:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0na263vK6Nr9VoS3EMj11MBpHkjaBeLfEhHH8DS2KcdnkN7KrG3UbRrsATzNuzdv5l,0,Foto,,,,,Total,0,0,2,0,0,0,0,7,48,15,70,33,44,2,,
247781496871127,103185414664070,"Philosophical Gym Bro","Asian Spiritual Shitposting (ASS)",,0,"01/31/2021 23:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0YvTuUyzbZEUectXeqMqJz3TZ38MiedA5J5q1qjFbvyivCr6Xdeb6yQLEeP9kEMpKl,0,Otro,,,,,Total,0,0,0,0,0,0,0,1,18,3,22,3,3,,,
248064826842794,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/01/2021 08:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02KJ12i5xnRdmTtCEPcny2jrZgxcZGK7Gvwo8CHjxGCBGau8t8q6KpsmCfcDVijGusl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,11,1,12,3,3,,,
248078110174799,103185414664070,"Philosophical Gym Bro",,"Postmodernists be like",0,"02/01/2021 09:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0bKAKeNWNay2qNVBTc92EFLuYjhcrdC5vcA2cLdZLtkAJ9PsKezcKpwBh9CgpUZi1l,0,Texto,,,,,Total,0,0,0,0,0,0,0,0,28,0,28,4,4,,,
247130230269587,103185414664070,"Philosophical Gym Bro",,"This is not the pipe painting

but it is oc",0,"02/01/2021 10:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0PB5r91NTE84EMfa1nLVNpiKyF4bthsT2HsvG7QbxhvKWqvLz863ojSmg8DB6CjApl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,5,0,5,6,6,,,
247724266876850,103185414664070,"Philosophical Gym Bro",,OC,0,"02/03/2021 10:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02sny4Uu3kF7QaLQ6P7Way2K6SDhnsSCyAno5SerxhkzAM2z7Dunji4kLxhrdpDfKNl,0,Foto,,,,,Total,0,0,1,0,0,0,0,0,5,1,6,8,8,,1,
249333993382544,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/03/2021 11:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02uSkAdsbCG8QVdUKb19SvAGFvCayFi5xnAt93iC3oQHw88DCfZ7mgpxKY3t7w7coDl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,8,1,9,3,3,,,
249921259990484,103185414664070,"Philosophical Gym Bro","Fotos de la biografía",,0,"02/04/2021 11:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0287QGoCxAzpzc6HdCaNnzswwk4e5Xtoj5GRoUZbj2cGJf6mob6jVmAeQ4xaqNRLR6l,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,32,4,36,3,3,,,
250478659934744,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/05/2021 08:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02gXnHvjyhfcNdVxS6RUP4k8YAiPabdxZEdPxAu3JQBTGvPsg1dqJzu1azp4DuimgJl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,15,1,16,3,3,,,
250193063296637,103185414664070,"Philosophical Gym Bro",,OC,0,"02/05/2021 10:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0jmBpHk18BKxTcw8B6bTAUyoP7ohcxQcgU99pge2ALrGCSjuMEE56w6gtptDXfFj5l,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,31,15,46,58,63,,,
251939406455336,103185414664070,"Philosophical Gym Bro",,"Freudmin circa December 2019",0,"02/07/2021 11:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02aa8bMJF1No3SQk8nhUSkEebKpHRi9A1YSrjpdCtGHNRPJG3R3dScN4275LxawDiCl,0,Foto,,,,,Total,0,0,1,0,0,0,0,5,91,41,137,42,50,,1,
252085603107383,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/07/2021 19:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid033Zf9rYNHZ6GZFo4MEb49qa1VNZaqnKNehGKPz6axmU2FzfWq2aKuodXqLhHWLeiRl,0,Texto,,,,,Total,0,0,0,0,0,0,0,4,33,1,38,3,3,,,
252710576378219,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/08/2021 21:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0y3LXGC2tt2ZNN7cQwjYQcNcyHBUcpefkh5LJwRezfoeTcRMtHddxBUSnupWf74ptl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,23,5,28,3,3,,,
253034133012530,103185414664070,"Philosophical Gym Bro",,"""This isn't a philosophy class, It's an Ethics Class,""
-Ethics Professors",0,"02/09/2021 09:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0bXHR8sHMdfnZ9fbwBsGGVE9fiqa8VhZSPzYh4YDbfw9wuL5EWzsRToDLGWiHXQR4l,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,17,2,19,14,16,,,
253166202999323,103185414664070,"Philosophical Gym Bro","Actualización de estado","Eggs are fine and good though 

Also this is not an endorsement of skipping leg day",0,"02/09/2021 14:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02miSLDvQMJdDNDfJoxTuAj44mPNXuwAsDKHdihh6iQs1JVHKupJo6nHaouBuA6Lkzl,0,Foto,,,,,Total,0,0,0,0,0,0,0,1,8,0,9,3,3,,,
253335222982421,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/09/2021 22:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02gSkvKRG4xfJpb7xYTPU3TqYViXjQjVnSnzFHvJaiiBGJvyNQWbmaYPCt14kueHU2l,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,8,0,8,4,4,,,
253738706275406,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/10/2021 12:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid024eTNSJEroHJ26zNbw2NHavD7Auh94McgXkou9Z5ScMp88kPyMnqhWZLE29FJnpKVl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,16,2,18,4,4,,,
253143703001573,103185414664070,"Philosophical Gym Bro",,"Ya boi is convinced",0,"02/10/2021 16:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02RkNbXbZ737j32QU3NEkufd6xr58QsmArGiJZdXMsjQswkXN8KmUhRH5BmvS5R2Uxl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,7,0,7,6,6,,,
253145526334724,103185414664070,"Philosophical Gym Bro",,"Descartes? Are you trying to... Catfish me?",0,"02/11/2021 07:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02C9L6mKbRZfVnkM4sEp6jRoQZWquiU9pgLbrmduJAMZaJZ3uXP1HUmSANrr8nHz3Gl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,6,1,7,6,6,,,
253877269594883,103185414664070,"Philosophical Gym Bro",,OC,0,"02/11/2021 16:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0GZkrVeFWecPFX9z4wfCCSGtgMQ71Ky7j3iaRzYrbdVcWEehY71qScgH3GoGb2oMcl,0,Foto,,,,,Total,0,0,0,0,0,0,0,1,25,2,28,9,9,,,
254692959513314,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/11/2021 22:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02NxrLMrJRyejt7nCkVn4Ppr54o63duHWMKDxFpFqRw28t6EXuiTxMxK7aFTraVLLEl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,27,4,31,4,4,,,
254847609497849,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/12/2021 05:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0vsdrDghCV9oKJZnayZ496sGkxer7GUhfxN2GzDYU1qby8TDBuxRdhPKWMpZ9fG6ml,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,21,1,22,4,4,,,
253147279667882,103185414664070,"Philosophical Gym Bro",,O.O,0,"02/12/2021 07:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0xHS9wUzPqYFkEnbRDd7Czgx1wrkndGrYic3yJEtQhyiwchZDuCnL6w8x5F82za61l,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,4,1,5,10,10,,,
253153849667225,103185414664070,"Philosophical Gym Bro",,"According to old Buddhist texts basically the way to get enlightened is do household chores.",0,"02/13/2021 07:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid025JMLGd8ewh1tMynTcHuwKCS9bUwDriYkAxCp7CvhLt6xTUSvoYAycjmqsmAxRjjhl,0,Foto,,,,,Total,0,0,0,0,0,0,0,3,39,105,147,200,232,,,
255626352753308,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/13/2021 10:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid031nti54oToFeVyKNHk3rb8EnuwVstiBK3rGoR4QHW47jpznP8Mhg3goNq9FrRm8Ebl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,12,2,14,4,4,,,
255713526077924,103185414664070,"Philosophical Gym Bro",,"Low hanging fruit O.C.",0,"02/13/2021 14:02",N/A,https://www.facebook.com/GymKingSadBoi/photos/a.103875024595109/255713526077924/?type=3,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,5,0,5,4,4,,,
255912479391362,103185414664070,"Philosophical Gym Bro",,Mood,0,"02/13/2021 22:02",N/A,https://www.facebook.com/GymKingSadBoi/photos/a.103875024595109/255912479391362/?type=3,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,1,0,1,4,4,,,
253164466332830,103185414664070,"Philosophical Gym Bro",,"Do you? I do when I see someone take the bench press I was waiting for. 
O.C. but the sculpture and picture by some other talented person.",0,"02/14/2021 16:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0237ELgiczKZn8pqNByu8rqTeijzKXsn6StrAmhJdYp5yv8p8AkKmVZWTkyJvcS1b1l,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,1,0,1,9,9,,,
256517295997547,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/14/2021 19:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0MP1NKs7EVHNiUuCnWpPtK1sY6iCx4E8Sngy1c1SxsZg6Gcn55q6jx439kDuW8rnfl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,10,1,11,4,4,,,
256851875964089,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/15/2021 08:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid07tjbJ9waaY6QEc4U8C8ss1jFf974p3TQ9yVqyKXUggBP7ditLRf6w9aRANvfGdZEl,0,Foto,,,,,Total,0,0,0,0,0,0,0,2,30,1,33,4,4,,,
257052159277394,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/15/2021 16:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid028jDunv9MLsQTwzzF2ftSJhnb5N8pnQHduZCizGd98s9JkbPJzHQ96LYLSL3x8atql,0,Foto,,,,,Total,0,0,0,0,0,0,0,6,13,0,19,4,4,,,
253936042922339,103185414664070,"Philosophical Gym Bro",,"UwU *Reads Theory*",0,"02/15/2021 17:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Mk5nJXEUPoH97UR2C1cg1Vx7Eh6rSFNNiq2FYDrDVEka8btWNbeYvLrM8Sme44ZYl,0,Foto,,,,,Total,0,0,2,0,0,0,0,0,10,2,12,126,128,1,1,
257675089215101,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/16/2021 17:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02fzz3yb9Fs9pgaRAPQLjifV5jJJJyNwWvoKDRngh6gSkdHSdpDYVUfSuamTngnR3Al,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,9,1,10,4,4,,,
258375315811745,103185414664070,"Philosophical Gym Bro",,(g)old,0,"02/17/2021 21:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Ry9hKJrjezN5pL1s6mnnKWAeAvy3VN8ee1tgRG1m3Rzb3qWNV4XHXoXCLE5Z1pcjl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,31,8,39,11,11,,,
258377199144890,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/17/2021 21:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0chsJyNtvVKHpm2sGcEbjkor4zVxMdJf4bKiDGqbotB5b87jXQi8vqjHSFAbvbVhRl,0,Foto,,,,,Total,0,0,1,0,0,0,0,0,20,2,22,4,4,,1,
259508102365133,103185414664070,"Philosophical Gym Bro",,"Probably a lot of you too.",0,"02/19/2021 11:02",N/A,https://www.facebook.com/GymKingSadBoi/photos/a.103875024595109/259508102365133/?type=3,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,6,0,6,4,4,,,
259552295694047,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/19/2021 13:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0qoXtKuC8PSh3vWdpJGDYvxKyEYUKhSdJreVtaDDVM2m2QeYADto3JCL7urpumBvRl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,22,1,23,4,4,,,
260215662294377,103185414664070,"Philosophical Gym Bro","Fotos de Philosopher Games",,0,"02/20/2021 15:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0BE9SF5aSihafvY1HaAAbqDVhjrhjVETr4aYpXuCXZxTk8ojk1bSMGfrgmSgb6hV9l,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,11,0,11,5,5,,,
260759438906666,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/21/2021 11:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02E2eePRivhoMJHtk3eyCB5UFXs1WWvf16wixi3fhqLZrwdnX4FAYiBTUumtLfo6Bil,0,Foto,,,,,Total,0,0,0,0,0,0,0,1,19,1,21,4,4,,,
260847442231199,103185414664070,"Philosophical Gym Bro","Mahakavya Dharmic Posting",,0,"02/21/2021 16:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid027BLsk7zqJ7GovGNgS9LAFcCcrUg6hMUAonGgavttvzyg5hwrUEqYsePMitBA2meJl,0,Otro,,,,,Total,0,0,0,0,0,0,0,0,22,17,39,4,4,,,
261342322181711,103185414664070,"Philosophical Gym Bro",,,0,"02/22/2021 12:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02bRiK9JtgrU7gBVgrots3DndWKWhXsKRhTGoCsxrpaugE2TYJKRg9AWcVVJ18UkP6l,0,Foto,,,,,Total,0,0,5,0,0,0,0,2,21,9,32,22,23,4,1,
261543592161584,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/22/2021 21:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0BkwgCEQtX8ukos1XmPbvgKNGY7Ln1QSfSkg93jRdvx2zRySNMdhyBxfDjafRrjGTl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,22,3,25,4,4,,,
261590458823564,103185414664070,"Philosophical Gym Bro",HangryFoodShitposting,,0,"02/23/2021 00:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0cZttbMAGt3McD6pGjmP5em6MVBL9N3HmXk47MfPyhjAAN8Y7THpyZH5hfAbNq1R3l,0,Enlace,,,,,Total,0,0,0,0,0,0,0,1,20,2,23,4,4,,,
261903955458881,103185414664070,"Philosophical Gym Bro",,"Analytic philosophy be like",0,"02/23/2021 11:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0bZo6wXeAzGi4ECrY7TixgxXVL6wqS6XhRkHpYV3rmtt7HxzeEpZY4Xwj3ypHXuLEl,0,Foto,,,,,Total,0,0,3,0,0,0,0,0,10,2,12,100,101,1,2,
262094492106494,103185414664070,"Philosophical Gym Bro","Fotos subidas con el móvil",,0,"02/23/2021 19:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0Xo3jBaubTndNs9wLgPsc71pX5dimEqxMEjP7SHmGrsECcYohJ26CvYb8omByxfuSl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,21,4,25,4,4,,,
262182335431043,103185414664070,"Philosophical Gym Bro","Actualización de estado","Obviously we know exactly what this guy is talking about.",0,"02/23/2021 22:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid032dVRRFfAvQ65HB1vCsAGQF28yGo4o5uGoynp3pRTsoUFL7YRX7636eWG4jD1WR68l,0,Foto,,,,,Total,0,0,0,0,0,0,0,3,12,0,15,4,4,,,
262452852070658,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/24/2021 08:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0Jt5sugwChi4QovC25oESt1bcdKPkKSB3wGtZFYcHQ8RvbMV16KYnTxSTi9bq5jzjl,0,Foto,,,,,Total,0,0,1,0,0,0,0,1,27,2,30,4,4,,1,
262534542062489,103185414664070,"Philosophical Gym Bro","Fotos subidas con el móvil",,0,"02/24/2021 11:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02SxvWFkkcbvZEL38w7AxthmFXNHEvQag57uNjSvn1NF8uWrqttGMvHDAwdsDT66P5l,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,11,1,12,4,4,,,
262536205395656,103185414664070,"Philosophical Gym Bro",,,0,"02/24/2021 11:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0i8cSDU3Q3vDQxzutDP6zGDTg9uXCXUn4RpDpNc2d9TZL4NgJDJNdrGRv9Dz3NgV9l,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,25,1,26,11,14,,,
262723978710212,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/24/2021 19:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0nrWaHkvAQEogES84cQCauFghbErNhSeBV3ebmrX15AjRRAs8vsRHMTDaXDE9xcQFl,0,Foto,,,,,Total,0,0,0,0,0,0,0,2,58,12,72,4,4,,,
263244418658168,103185414664070,"Philosophical Gym Bro","Actualización de estado",honk,0,"02/25/2021 17:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02dvdn8FRcoYGMyNEpKLY2YcayDAj8uTdCp6KAVKxFRefv4zptZpTuQvsmaEuVb6X6l,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,13,3,16,4,4,,,
263342095315067,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/25/2021 21:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02nCHYqbrt3DQ5sgG54kooCduXNX318c3xt3zt2uEejP3sZhWQTg95TXzp4n4MkRSQl,0,Foto,,,,,Total,0,0,0,0,0,0,0,1,24,4,29,4,4,,,
263779405271336,103185414664070,"Philosophical Gym Bro",,"SMH if you're not using Sublimation to improve your deadlift.",0,"02/26/2021 12:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02myckzrfvWUocdt9eqXaQUqisfpqSBEGTcgxDbACFz7LqnFqCniQqJ2Tcc43LwLHrl,0,Foto,,,,,Total,0,0,0,0,0,0,0,4,44,8,56,14,14,,,
