"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Profundidad de desplazamiento diaria en el artículo","Tiempo medio dedicado al artículo","Otros clics","Visualizaciones de fotos","Clics en el enlace","Total de clics","Segundos reproducidos de media","Reproducciones de vídeo de 60 segundos","Reproducción de vídeo de 3 segundos","Segundos reproducidos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Personas alcanzadas",Impresiones,"Comentarios negativos únicos de los usuarios: Ocultar","Comentarios negativos únicos de los usuarios: Ocultar todo"
477989587183649,103185414664070,"Philosophical Gym Bro",,"What goes in a soup, salad, or sandwich is a social construct. 

A roadmap to every discussion of this type.
""Is X a Y? (Despite falling outside of it by obvious convention.)""
""No, (I say this intuitively because it's against my unexpressed usage conventions)""
""But it follows some abstract rule that you might use to define that linguistic category! If you don't accept that rule, what rule do you accept?""
*Foolish sod tried to come up with some rule, falling for the idealist trap.*
""But there's a counterexample to that rule, or that rule would include such or such unconventional thing that doesn't fall into the category""
Continue ad nauseum.

The whole mess came from trying to define some platonic form of soups or whatever, when what goes in a soup, salad, or sandwich is a social construct. We just call things soups cuz that's what we call things like that.",0,"02/07/2022 09:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0wvg1trxbcigetpRGTf4SDpFfgmW93dgQPRYkNUWhh1dgwEgwdCfFZ4o4piFWvmkfl,0,Foto,,,,,Total,0,0,68,16,,84,0,0,0,0,5,77,10,92,2395,2521,,
478117630504178,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/07/2022 14:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02WkCtBMzM6g7uGS2m3wN5eFMSrfsbM8pYhfmzpbM5s6fJk2K8zgbLf7gTguwRDkebl,0,Foto,,,,,Total,0,0,32,67,,99,0,0,0,0,0,36,6,42,1256,1322,,
478227480493193,103185414664070,"Philosophical Gym Bro",,"OC
When your prayer has whack error bars",0,"02/07/2022 19:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02VWnKppPjwkatntQsSCxNNn2QZi4gug4tz5NceSGEWU8AsFsGvRAMzy5M6AC2WA4dl,0,Foto,,,,,Total,0,0,11,6,,17,0,0,0,0,2,24,0,26,901,936,,
478629433786331,103185414664070,"Philosophical Gym Bro","Meme Symposium",,0,"02/08/2022 10:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0kGLQBjtLDzbBzCwTSuUdKiMkTN5w71Rs6cQ5Hbedj8kNVPowyo1dyiSgFusk17Pnl,0,Otro,,,,,Total,0,0,70,33,,103,0,0,0,0,2,99,10,111,1789,1889,,
478782297104378,103185414664070,"Philosophical Gym Bro","Fotos de Philosopher Games",,0,"02/08/2022 17:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02hLd1qa8Q7B3UMxzgxZ58pYydKLKMXuQrPSDzjqH4fBwwuAwmXKwH3wFTUDGB5djyl,0,Foto,,,,,Total,0,0,34,22,,56,0,0,0,0,1,50,6,57,1098,1117,,
479382817044326,103185414664070,"Philosophical Gym Bro","Actualización de estado","Shilled for a copy with these in it. Worth it.",0,"02/09/2022 18:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid033zsgY1SWLWb81D3MUWgqmF74TRcTBZcnwANNhidYK8EeZt7vgcQAktwuNfjaF8HLl,0,Foto,,,,,Total,0,0,63,52,,115,0,0,0,0,0,37,10,47,1251,1325,,
480564756926132,103185414664070,"Philosophical Gym Bro",,OC,0,"02/11/2022 11:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0eaXA7gaxYpEk4tHJYdnoi7JEbiBehzJpVpD1cm7JDJRfLkWPfoJjxYZ6e1kNq73Jl,0,Foto,,,,,Total,0,0,40,60,,100,0,0,0,0,1,42,6,49,1372,1445,,
480618890254052,103185414664070,"Philosophical Gym Bro",,,0,"02/11/2022 13:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0mjdQA2LKHCbU9VErAtd6mxqAGuQCAsgd2gh3wnsY5a43AVcptvuG2jXweSWKaniAl,0,Foto,,,,,Total,0,0,30,16,,46,0,0,0,0,0,60,8,68,1225,1289,,
480690693580205,103185414664070,"Philosophical Gym Bro","Animal Memeposting 2.0",,38,"02/11/2022 17:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0M9LuHwraw9THCTJpLmTagg7S8J141Joy8zXp68Z2rJKr9j9Gk7b47aCJvzHaj2bhl,0,Otro,,,,,Total,0,0,67,,1,68,0,0,342,0,3,38,0,41,963,1003,,
481318976850710,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/12/2022 15:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid022pWZobWrTAeHcaWkCXLPP6D5SqgjMhZfjDnw5R4eerf4sdf8BiD4qhPqELGUsLG3l,0,Foto,,,,,Total,0,0,57,39,,96,0,0,0,0,4,33,10,47,1796,1870,,
