"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,"Personas alcanzadas",Interacciones,"Veces compartido","Me gusta",Comentarios,"Segundos reproducidos","Reproducciones de vídeo de 60 segundos","Reproducción de vídeo de 3 segundos","Segundos reproducidos de media","Total de clics","Otros clics","Visualizaciones de fotos","Clics en el enlace","Tiempo medio dedicado al artículo","Profundidad de desplazamiento diaria en el artículo","Comentarios negativos únicos de los usuarios: Ocultar todo"
612247697570450,103185414664070,"Philosophical Gym Bro",,"Semi-Autobiographical OC.",0,"01/04/2023 10:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0gsLfcwmY4pYTevMAXb3kucu4qT3d7iSA71MAuMWGQg4oECf2AeTiFUyZYiRF4vdyl,0,Foto,,,,,Total,48350,47019,1235,182,973,80,0,0,0,0,2709,1697,1011,1,0,0,5
612338197561400,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/04/2023 13:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02K9459hb5QdwmFVXB5k1HCfmRuE5DwtQ1zQD7S8AoV9t6HiiuSyhgror3B8scBjFxl,0,Foto,,,,,Total,2740,2641,33,1,26,6,0,0,0,0,135,74,61,,0,0,
612372757557944,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/04/2023 14:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0U9jaA8Hhrqa9SuQ9XP9jXbtXsQKAK8d9MGYbG43uhfACGFV4kosp1aytQpjB5VzVl,0,Foto,,,,,Total,3179,3085,151,23,127,1,0,0,0,0,327,164,148,15,0,0,
613137290814824,103185414664070,"Philosophical Gym Bro",,OC,0,"01/05/2023 16:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02eLT8H8kVyfoZp6naTpTiFK2RB6hf7LSUUhi36ac96oiQv5wp8tHQqLbT7apENRYYl,0,Foto,,,,,Total,6229,5888,252,25,197,30,0,0,0,0,392,281,111,,0,0,
613577824104104,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/06/2023 06:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0PauArf4EZUii92ZGQ6HjhvcNAfn81yq1H7QEZJNSBXKDMukXnxKxkaA72yi3HDPul,0,Foto,,,,,Total,3040,2980,132,9,122,1,0,0,0,0,362,74,288,,0,0,
613934974068389,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/06/2023 15:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid01UZ8XhKTooPQug6TK3daUt8j7JUCmtDqBmBkAKxrHPEkwDtdHqbD5H1kpx7UBHD2l,0,Foto,,,,,Total,2203,2130,79,9,70,0,0,0,0,0,191,73,118,,0,0,
613962887398931,103185414664070,"Philosophical Gym Bro",,"OC. I'm cutting rn and this hit hard",0,"01/06/2023 16:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0aq6xQDyQdE9CberJR7svTWfFq9VHbH6QLDDxxLywX988HzT6g4xikPdTH9vWkmC2l,0,Foto,,,,,Total,1164,1068,17,1,16,0,0,0,0,0,47,12,35,,0,0,
614632470665306,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/07/2023 13:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02TtZ5uy7yDvrqH4ZHbkv35xAgoZGTW1Ay4jnQg69pSawezCA1S4wPrsWRWCraXbPQl,0,Foto,,,,,Total,2021,1902,63,3,60,0,0,0,0,0,88,42,46,,0,0,
615447743917112,103185414664070,"Philosophical Gym Bro",,OC,0,"01/08/2023 15:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02XhNnWXZAYbcZ6FALd6mLZvFxWH1FhmsN9EjJuF9AXLpNFbDpPu8y75Ppk9ige1ssl,0,Foto,,,,,Total,1275,1229,29,1,28,0,0,0,0,0,30,6,24,,0,0,
617734013688485,103185414664070,"Philosophical Gym Bro",,"""Of course it's real, after all, we experience it in a consistent way!""",0,"01/11/2023 09:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0f5vDYFg4jrcQbjo1NSpshULBL1ApTzkYRCC83CiBxHWoXVFaJEXmXmYcAeFVmKbSl,0,Foto,,,,,Total,2207,2030,64,9,52,3,0,0,0,0,98,64,34,,0,0,
