"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Otros clics","Visualizaciones de fotos","Clics en el enlace","Total de clics","Personas alcanzadas","Segundos reproducidos","Comentarios negativos únicos de los usuarios: Ocultar","Reproducciones de vídeo de 60 segundos","Segundos reproducidos de media","Reproducción de vídeo de 3 segundos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Tiempo medio dedicado al artículo","Profundidad de desplazamiento diaria en el artículo",Impresiones,"Comentarios negativos únicos de los usuarios: Ocultar todo"
353869609595648,103185414664070,"Philosophical Gym Bro",,"Low effort O.C.",0,"07/22/2021 18:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0UY7avyDVP8DVoVPYSPBWTTVbApFKaqgGB1puYssRsmmxN2DaczprkU6uaSZLoGYol,0,Foto,,,,,Total,77,11,,88,1136,0,,0,0,0,7,44,4,55,0,0,1166,
354333289549280,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"07/23/2021 12:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid022NK2gJefJyUC5XtVYrrK9NLP86mTLqzyUJbUGYJaAnsF4yGA9dACsHH611GSxd7Ul,0,Foto,,,,,Total,27,1,,28,639,0,,0,0,0,5,17,1,23,0,0,665,
354425086206767,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"07/23/2021 16:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02YwzXNbfH83H9PzqycZCPGRXxErYBTZxs1VHRQTFg4jCHo5ZtecngGB9xhZ1QqUPFl,0,Foto,,,,,Total,15,4,,19,730,0,,0,0,0,0,19,1,20,0,0,757,
355953576053918,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"07/26/2021 05:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0trZbrRcoGsL9Qs6hKuGdERUDce3b1MWfKVK6znx46FFhxWxKqyJGz1ev8RYANsosl,0,Foto,,,,,Total,13,1,,14,493,0,,0,0,0,0,20,1,21,0,0,517,
356427816006494,103185414664070,"Philosophical Gym Bro",,"Depressing low effort O.C.",0,"07/26/2021 23:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0WnQGckccvjPQCTdgoywfZQoZhA5V9891E8TPNeiJHULYdtSrcpwQavrTxN8ToZCWl,0,Foto,,,,,Total,56,27,,83,3289,0,,0,0,0,1,157,20,178,0,0,3501,
356680152647927,103185414664070,"Philosophical Gym Bro",,,0,"07/27/2021 08:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02jtB9KVQYARnaNifvkgcc71yKkaeRZPFzeHNXURWD2VKDtqE9D74cCq4Xz5w6qkrDl,0,Foto,,,,,Total,105,72,,177,3996,0,1,0,0,0,2,85,7,94,0,0,4179,
356775925971683,103185414664070,"Philosophical Gym Bro",,"Can't even make it one sentence into Kant without getting distracted",0,"07/27/2021 12:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02ZEozKota6AqWWZX48BKFeQvZUGfgYQHcFXZNQFpzN8Nift5CtCDUFbLYvnt6MigTl,0,Foto,,,,,Total,24,10,,34,1591,0,,0,0,0,2,25,4,31,0,0,1693,
356902669292342,103185414664070,"Philosophical Gym Bro",,"A gift/personal attack from the esteemed Michael.",0,"07/27/2021 17:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02LydmW34CYdDBVhj8znsVvQYZNyDR35SGDmMvbAPzW6NfxpUFiZihh5LcA4SyYfxCl,0,Foto,,,,,Total,152,53,,205,3795,0,1,0,0,0,9,211,9,229,0,0,3987,
357027975946478,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"07/27/2021 22:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0W1xHFW5SvLML4qW9ebPuMKZSsjfpevTUpXThvx8zhwMNCrnw5rkBsFrWZKAgx7xnl,0,Foto,,,,,Total,18,7,,25,567,0,1,0,0,0,0,21,0,21,0,0,597,
357032945945981,103185414664070,"Philosophical Gym Bro",,"OC Just listened to a performance of Oedipus at Colonus. Sophocles really be like:",0,"07/29/2021 11:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02weX95kzQcfYyTNwTD6osuVf4SrSMe14iLW4MVfsZhP71wuYcJKwsAuN91xxn7dhDl,0,Foto,,,,,Total,1,,,1,323,0,,0,0,0,0,7,0,7,0,0,337,
358097772506165,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"07/29/2021 15:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid04wpZmk9BqhdhXbp6wxMCXNBA122D2BCEaDcBTt7MRM5HCjbAqEawoTN32YkYyqUsl,0,Foto,,,,,Total,76,23,,99,879,0,1,0,0,0,1,30,2,33,0,0,903,
358501919132417,103185414664070,"Philosophical Gym Bro","Asian Spiritual Shitposting (ASS)",,0,"07/30/2021 07:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02DMYyudtWWFVuEFQCcEVia2Cm94jttDwi2e8Q99prkGCSJLeG91yXAQa8x8zAj4Uol,0,Otro,,,,,Total,6,3,,9,334,0,,0,0,0,0,6,0,6,0,0,348,
358269089155700,103185414664070,"Philosophical Gym Bro",,"Pro-tip, don't psychoanalyze your families dreams, and if you do don't tell them. 
O.C.",0,"07/30/2021 11:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid031G6SggKvA1Gx5UqtHu8gyPUXo9URz8xRDswDmXKvkh4pnUT2cgSfTGtbLWJmtLrfl,0,Foto,,,,,Total,10,3,,13,575,0,,0,0,0,2,19,1,22,0,0,597,
358660015783274,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"07/30/2021 12:07",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid021pRSu8GUDzVyNp1k9Vp1g9ts42N9Eh8YHy54FmStAuiURyJySP4n7PSx4k29C7j3l,0,Foto,,,,,Total,6,7,,13,424,0,,0,0,0,0,9,0,9,0,0,444,
