identificador de la publicación,Identificador de la página,Nombre de la página,Título,Descripción,Duración (segundos),Hora de publicación,Tipo de subtítulo,Enlace permanente,Se usa en varias publicaciones,Tipo de publicación,Idiomas,Etiquetas personalizadas,"Estado ""Contenido financiado""",Comentario,Fecha,Reproducción de vídeo de 3 segundos,Profundidad de desplazamiento diaria en el artículo,Personas alcanzadas,Tiempo medio dedicado al artículo,Impresiones,Segundos reproducidos,Reproducciones de vídeo de 60 segundos,Otros clics,Clics en el enlace,Visualizaciones de fotos,Total de clics,Segundos reproducidos de media,Comentarios,Me gusta,Veces compartido,Interacciones,Comentarios negativos únicos de los usuarios: Ocultar todo,Comentarios negativos únicos de los usuarios: Ocultar
5.81867E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,27,7/17/2022 23:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02zjcZa28BKFCLtEt5ix1XC4huk1ECHCN2DbtBcuemPF7X2WpzmEtVSBiFCof5bR4Dl,0,Vídeo,,,,,Total,590,0,1524,0,1585,0,0,259,,,259,0,1,49,0,50,,
5.82398E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/18/2022 17:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02mozhzud8z5Q3N4gRdRmGt3zMJwNQrA6r5e6LpgBn7EPGmPhUUumHurMvg4SUcZdul,0,Foto,,,,,Total,0,0,2036,0,2092,0,0,85,,44,129,0,1,60,9,70,,
5.82411E+14,1.03185E+14,Philosophical Gym Bro,There's Still Time: You Could Probably Get A PhD In...Something...,,0,7/18/2022 18:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02j65UTrH2ZeEjG2ZNqFseKRjCChysYuSuW1qZZjgcf8nnCncv3upDFxjLDmkZzsuFl,0,Enlace,,,,,Total,0,0,720,0,777,0,0,5,29,,34,0,0,6,1,7,,
5.82953E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/19/2022 13:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02uaGZJWPveoFK4EPpsEif5BKUtoeVVyDyK8w3s9C5Br7r355quGgTWnDXPD7aLAFgl,0,Foto,,,,,Total,0,0,2761,0,2798,0,0,116,,98,214,0,1,66,9,76,,
5.83109E+14,1.03185E+14,Philosophical Gym Bro,Macabre,,0,7/19/2022 19:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Y4m9XS4MtUThCYJgbYrL5CyVWGNG3FYtDsggsthKFmGsXcRTv7ppDgpAe12htArUl,0,Otro,,,,,Total,0,0,1528,0,1591,0,0,29,,39,68,0,0,33,9,42,,
5.83528E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,159,7/20/2022 10:07,uploaded,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Kiztd9XTMV8r3dcG6QKCnxLStLPaTVhvtyJCibov84uRkmMXHdQBzqtab9RjygRql,0,Vídeo,,,,,Total,349,0,1069,0,1114,0,110,71,,,71,0,3,26,0,29,,
5.83777E+14,1.03185E+14,Philosophical Gym Bro,Michael Sugrue: Either Or,,0,7/20/2022 21:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02oML58gznPZKz8X1FVgBXboSjgxG1vHQHwzcWHtyQFkA2P6fsfJNkxis9tXbBdp9Bl,0,Enlace,,,,,Total,0,0,620,0,659,0,0,19,17,,36,0,3,6,1,10,,
5.84089E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/21/2022 09:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid08Lc8GqYSvzcjjn3HPWab7Nfk58fkZNst3tfa8nYvnKc1rxvzDzttLTEQByYwitcXl,0,Foto,,,,,Total,0,0,1682,0,1690,0,0,72,,12,84,0,1,43,7,51,,
5.84155E+14,1.03185E+14,Philosophical Gym Bro,Meme Symposium,,0,7/21/2022 11:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0Cm2o6hfGk9RXCMAbPkVfG1gnJgBrHN1MWG7HiCM5gS9jBwY5PUhJFszMnyEDfsfvl,0,Otro,,,,,Total,0,0,1608,0,1654,0,0,100,,52,152,0,1,66,13,80,,
5.84309E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/21/2022 17:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02EDT36uXo6uo5QZMVpBSVJqxUPScMNKA1T2XGjeiZS5fJfZhHWYU6jYDyTbo9cqYgl,0,Foto,,,,,Total,0,0,2501,0,2543,0,0,62,,82,144,0,1,52,8,61,,
5.8487E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/22/2022 11:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0zcBu1ThfccPXJQXFCN739TFVniiJgtU9rG9T87zz96bPJyH8Fz3CJyhAZcxL5LWWl,0,Foto,,,,,Total,0,0,1225,0,1290,0,0,42,,18,60,0,0,21,4,25,,
5.85379E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/23/2022 07:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02zt8dRpzbj7qtNUSAWVaTPBDYbUe41AE1qqEBnwSpffa6pKyTRy5Wz6VAf5CJsA56l,0,Foto,,,,,Total,0,0,2181,0,2185,0,0,104,,53,157,0,0,32,6,38,,
5.85641E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,7/23/2022 17:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02zwQeuudqaSfJs4gcpBmf9LXpD477tQHkcnVuManhv2SECZqG4txyr8yahXq8DHzol,0,Foto,,,,,Total,0,0,2038,0,2109,0,0,57,,48,105,0,0,35,11,46,,
5.85642E+14,1.03185E+14,Philosophical Gym Bro,,"Drugs are safe, introspection and talking about your feelings isn't.

EDIT: We were thinking of the PORT (1998) guidelines, not the APA's.",0,7/23/2022 17:07,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02goH6yQX5fR9tELiSnreG7t9Qdao2V5JEM6AstivVoTLm3oYTmTUocPMjFEQ6t7Fel,0,Foto,,,,,Total,0,0,8097,0,8549,0,0,593,,85,678,0,43,238,36,317,,1
