"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,Comentarios,"Me gusta","Veces compartido",Interacciones,"Visualizaciones de fotos","Otros clics","Clics en el enlace","Segundos reproducidos de media","Total de clics","Personas alcanzadas","Tiempo medio dedicado al artículo","Segundos reproducidos","Reproducción de vídeo de 3 segundos","Profundidad de desplazamiento diaria en el artículo","Reproducciones de vídeo de 60 segundos","Comentarios negativos únicos de los usuarios: Ocultar"
413447006971241,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/23/2021 23:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0NqY1BVdhD7PKDPn2jCgNJP2GE85MAZoMguFYNTq2JEp7H8nsepzRZTMUioRvsAtYl,0,Foto,,,,,Total,776,0,14,2,16,19,22,,0,41,776,0,0,0,0,0,
413765590272716,103185414664070,"Philosophical Gym Bro",,OC,0,"10/24/2021 11:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0Gzf2Lch2Ucvwpp5sy48UFqQCwWPCUKM8Z9MAvVP5tdT5T1oUvjRroVyd6iBdUtZRl,0,Foto,,,,,Total,4717,1,19,7,27,328,78,,0,406,4694,0,0,0,0,0,1
413975553585053,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/24/2021 20:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02UhBGEZxd1Am4zRtPZRQ3WwreZeLqaZBi4WekArPCsVcN6VRitoFWL77MtjiSyLPml,0,Foto,,,,,Total,482,0,9,0,9,6,10,,0,16,482,0,0,0,0,0,
413977400251535,103185414664070,"Philosophical Gym Bro",,"Sigma grindset tip #42069: only cite hoe-scaring literature in your essays",0,"10/24/2021 20:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02UR88xn1kXyvcVEsyN6iWSUFRpQunmZg5RUTqVv6zREwqgDaJEFS1gZyQSt2gtyBfl,0,Foto,,,,,Total,393,0,7,1,8,3,2,,0,5,373,0,0,0,0,0,
414318533550755,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/25/2021 09:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0W3hbwWWjwAxiYAgrG91SdNUJoMRU66Sz7D841s8vwqyX2Z7C68REfe9Jjm7bqVwol,0,Foto,,,,,Total,577,0,13,0,13,7,11,,0,18,568,0,0,0,0,0,
414379920211283,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/25/2021 11:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid03965fPMKXpBZYNqhACJ7mqkvbb7qDiMuLd2kQR4pU5i8atnpTMjgBzgofJQ6MHN6l,0,Foto,,,,,Total,499,0,6,0,6,2,2,,0,4,493,0,0,0,0,0,
414602906855651,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/25/2021 20:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Pew1HTvpXh58qmKdHMmxkJ1ViekFnxH9HyeUgX62pU36ZXaSySWQoLXvHLGKDHCel,0,Foto,,,,,Total,750,0,7,0,7,21,18,,0,39,720,0,0,0,0,0,
415155173467091,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/26/2021 17:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Ck4NVmbknZjjoJsifUccHnMauA65Jfyw1yDzkeYChViS9LKtXrcJwz7Aqgozbenwl,0,Foto,,,,,Total,440,0,21,2,23,4,6,,0,10,429,0,0,0,0,0,
415209166795025,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/26/2021 19:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02WpUarchGyQEwnm86Yghkecjn6YHUZhVCSXoiatJ1KW4sNEB7bhzobHmXVHKWWdo1l,0,Foto,,,,,Total,546,6,0,0,6,10,15,,0,25,546,0,0,0,0,0,
415212106794731,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/26/2021 19:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02pbCdmPtCvdTtXeyXw1P8AReNRvhJPu8WxX7nctNNDnpKRxrTUNaTiYanRZMTemXNl,0,Foto,,,,,Total,589,0,12,2,14,9,9,,0,18,580,0,0,0,0,0,
416928456623096,103185414664070,"Philosophical Gym Bro",,,0,"10/29/2021 09:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0288iHPe1U8v7fC9Gcfqcv8YupYRJej8d9YV3sh9xvJVjhBF7qL2ivNJy8agjcd1TVl,0,Foto,,,,,Total,746,0,6,1,7,10,11,,0,21,707,0,0,0,0,0,
417373816578560,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/30/2021 04:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02yoTT1cQafxZjAoUtsyzqeYSupd5QNHXH3kgAFdgN2jYhLzVZheMTn4TDrLESY3Jjl,0,Foto,,,,,Total,862,0,35,1,36,21,27,,0,48,849,0,0,0,0,0,
417555679893707,103185414664070,"Philosophical Gym Bro",,,0,"10/30/2021 10:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02FM6Yv4Q4iup6249q66Z3ykh8GGWBWqhmvfubwBbS9KQA51m8hrEcK5vX7zccJNrZl,0,Foto,,,,,Total,1270,4,38,8,50,70,43,,0,113,1227,0,0,0,0,0,
417677186548223,103185414664070,"Philosophical Gym Bro",,"#ligmagrindset
OC",0,"10/30/2021 16:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid029HYoffuYJRvqieNJRSdHbfZGk5PETnBcquefWNM37ezr4pdKWGHZ91PnHG2jQbwwl,0,Foto,,,,,Total,2827,6,77,5,88,38,72,,0,110,2678,0,0,0,0,0,
418274703155138,103185414664070,"Philosophical Gym Bro",,"Completely unprompted by current events but relevant to current conditions O.C.",0,"10/31/2021 15:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid024446rTVrMuPNQU8XurrbtU1kxfuQQUZGWgUeyWriQdLRcafzKRUQSVC47BunzHhPl,0,Foto,,,,,Total,1071,1,36,5,42,17,28,,0,45,995,0,0,0,0,0,
418706199778655,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/01/2021 08:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02HZXZ6Py2V1mbpiAB7tcsWPx8cW6gLaWL2cDTyxQE37zZB82QYZoSmzRYvuXzF6jvl,0,Foto,,,,,Total,859,1,30,4,35,21,17,,0,38,838,0,0,0,0,0,
418277143154894,103185414664070,"Philosophical Gym Bro",,"O.C.
I just saved y'all a bunch of time and effort, you don't need to read any Schopenhauer now.",0,"11/01/2021 15:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid05bcCDsHD48neZqNpXyfXkewgZKsq7GEpcTMnbBnWCBSvPLrGGy1ejvLpE2XWRJaql,0,Foto,,,,,Total,2834,15,124,17,156,20,76,,0,96,2652,0,0,0,0,0,
419009866414955,103185414664070,"Philosophical Gym Bro",,"Yo DUNC was dope guys
OC",0,"11/01/2021 20:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid04TyMA4gf71vEnK7GVvfRm34ZNTHNKsXF4jFFRvotwZFM3pxmXTp7kcaCEkyZbsoNl,0,Foto,,,,,Total,712,0,19,1,20,9,4,,0,13,707,0,0,0,0,0,
418279539821321,103185414664070,"Philosophical Gym Bro",,"Ya boi is feeling salty about the business ethics class he had to take this semester.
O.C.",0,"11/02/2021 11:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0aHRYgkJkcDbpA34L66aHLu38SgJGo38ScRVa2AQgtn4Z8BxYJpvygknihUJ3cE7ml,0,Foto,,,,,Total,733,0,34,1,35,8,9,,0,17,707,0,0,0,0,0,
419644559684819,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/02/2021 21:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02839EsJWxnvnzBqPCWXErqAqDDjj2gwiZyBWsRWESxMAqYY64CE5Dqbmq2B2TSgw1l,0,Foto,,,,,Total,480,0,19,1,20,4,9,,0,13,469,0,0,0,0,0,
419887046327237,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/03/2021 06:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02nRHHxV2xg7tMVR7ajpzEA17y4zf9gh1wdwKtLXGpHTxTGzrDtq5CLRYMYwSiaR1al,0,Foto,,,,,Total,1154,4,51,10,65,20,41,,0,61,1152,0,0,0,0,0,
420112082971400,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/03/2021 15:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0hdnD9xntxo1U83LHh23tCtfshpb8jhXtqCGr4w12aMsz2Q7oKYLkrFW9rWg29qn1l,0,Foto,,,,,Total,510,0,7,0,7,8,10,,0,18,488,0,0,0,0,0,
418285073154101,103185414664070,"Philosophical Gym Bro",,"As you guys go out into the world you need to watch out for grils that don't support you, you don't deserve that, so here are some signs that a grul is not 4U
O.C.",0,"11/04/2021 16:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02d4CptSQ57R3u81eNyR5m5xXoKiDN1YAKJZypUZXFxUigpbpqWnjao6JmQpAqNdBl,0,Foto,,,,,Total,838,0,26,4,30,60,58,,0,118,654,0,0,0,0,0,
421161776199764,103185414664070,"Philosophical Gym Bro","Sigmund Freud's Dank Meme Stash 2: Daddy's Return","Real primal father hours",0,"11/05/2021 07:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0bikXmPAnxDTSEniYdzY14Xm99y1qf9hnE4s4wmYCkJvHvAr37qjvaUu99TD7KQ6zl,0,Otro,,,,,Total,1481,0,89,8,97,79,74,,0,153,1481,0,0,0,0,0,
421381482844460,103185414664070,"Philosophical Gym Bro",,"Getting the fam into Asimov has been going well.
OC",0,"11/05/2021 16:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0os3g39pGAdAhAMzjJW1FfFoBUQRs9FJqHoizVM5WLEbWSGeLpLxfUdRz81ysTjKUl,0,Foto,,,,,Total,749,0,28,5,33,11,10,,0,21,730,0,0,0,0,0,
421644502818158,103185414664070,"Philosophical Gym Bro","Law School Memes for Edgy T14s 🙅🏾‍♂️🙅🏾‍♀️",,0,"11/06/2021 02:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0PpS7d5rGtSkEcrspRoDwj1coNn9pPtZz65xZgtYvgsfHQW1SzjhmqdquyjsG3g8rl,0,Otro,,,,,Total,1174,0,56,7,63,23,49,,0,72,1147,0,0,0,0,0,
421649839484291,103185414664070,"Philosophical Gym Bro","Law School Memes for Edgy T14s 🙅🏾‍♂️🙅🏾‍♀️",">Thinking solipsists aren't right about everything

*solipsist",0,"11/06/2021 02:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0H8X5uD2oKWNbJLNDKA7rqWWpYfKM61YgaTB8qfm11pbSPLJPi3zMFzHZqRcBwgn5l,0,Otro,,,,,Total,1062,0,28,0,28,23,18,,0,41,1058,0,0,0,0,0,
