"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Profundidad de desplazamiento diaria en el artículo","Tiempo medio dedicado al artículo","Otros clics","Visualizaciones de fotos","Total de clics","Segundos reproducidos de media","Reproducciones de vídeo de 60 segundos","Reproducción de vídeo de 3 segundos","Segundos reproducidos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Personas alcanzadas",Impresiones,"Comentarios negativos únicos de los usuarios: Ocultar","Clics en el enlace","Comentarios negativos únicos de los usuarios: Ocultar todo"
534652701996617,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/09/2022 14:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0STKJoUD2wPkbJAjeV9P2R8vV6u7vQcd5JwNfHUtjdJ2rCXzn9ofzpTLiWKdWmXTKl,0,Foto,,,,,Total,0,0,70,79,149,0,0,0,0,0,78,7,85,2027,2055,,,
534781915317029,103185414664070,"Philosophical Gym Bro","Wild Green Memes for Ecological Fiends",,0,"10/09/2022 17:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid023Y1ZGcKDEGyao1yvAE9qGtPsi1x95wpiiERJigpc25WKHL7Vesb5kZCKzHGceGNNl,0,Otro,,,,,Total,0,0,139,313,452,0,0,0,0,3,74,9,86,2723,2841,,,
534939345301286,103185414664070,"Philosophical Gym Bro",,,0,"10/09/2022 21:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0MYH77jzMjQP85xQye4mF7R78ewSAWFkJmU7mPbGyW7bt1WCveaWmCwktL1kZk3qel,0,Foto,,,,,Total,0,0,163,142,305,0,0,0,0,16,169,22,207,4785,5025,1,,
534996931962194,103185414664070,"Philosophical Gym Bro",,"And I love them all.",0,"10/09/2022 23:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0PKGF6rhqBb2AUzEcsGqkTAxwTwafwdiBypDQuPC3nVy18qH2SyhKYkrBfs8oWRVul,0,Foto,,,,,Total,0,0,181,110,291,0,0,0,0,6,215,27,248,5426,5700,,,
535522465242974,103185414664070,"Philosophical Gym Bro","Actualización de estado","Showing up to freshman classes as a supersenior",0,"10/10/2022 12:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02JYR2DsYzLWnqDppgmzdGzHxZ83jndjz6WCWruVQfMNK7R59X7kTuJqa1oics37nYl,0,Foto,,,,,Total,0,0,29,18,48,0,0,0,0,0,10,0,10,1378,1429,,1,
535541008574453,103185414664070,"Philosophical Gym Bro","Actualización de estado",,6,"10/10/2022 12:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid037eR2Tp14RvXTmAy1nEKkWdR1iCwdXT7siJfgUerpimY1nLLPExPm5QeDh3V8JnRnl,0,Vídeo,,,,,Total,0,0,147,,147,0,0,637,0,2,36,0,38,1221,1289,,,
535557451906142,103185414664070,"Philosophical Gym Bro",,OC,0,"10/10/2022 13:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0Tnrc2bi7vCfK1qRAxvDRE1fTVsUm2uFFP5Hy2AyZaeiHkXLkw4sWaR7vaqh8wNKdl,0,Foto,,,,,Total,0,0,199,113,312,0,0,0,0,7,100,24,131,4340,4558,1,,
536915308437023,103185414664070,"Philosophical Gym Bro","Actualización de estado",,14,"10/11/2022 23:10",uploaded,https://www.facebook.com/GymKingSadBoi/posts/pfbid0RY8ZNmenpYZs4NRpLjA3L9jR7EMWbkiJUot1ezTgBfZYacYdhbp4Wp2BAF3SmHWXl,0,Vídeo,,,,,Total,0,0,91,,91,0,0,258,0,1,11,0,12,728,757,,,
537127938415760,103185414664070,"Philosophical Gym Bro",,"Being into the Harry Potter MBTI is redundant because it is already proof of being a slushbrain Hufflepuff
OC",0,"10/12/2022 05:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02YZGM16QSMPWDWVQCxUw4LXBYUopMU9eAA6zii8ju6b4zEev2RkEWsHzoB1682wbzl,0,Foto,,,,,Total,0,0,50,42,92,0,0,0,0,1,5,0,6,1366,1411,,,
537984841663403,103185414664070,"Philosophical Gym Bro",,"Life and death are a single breath.
You breathe in,
Then you breathe out.",0,"10/13/2022 01:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0GaQC3WWSYtvaN9b8PtTRC74MDEGwLMWA48HAwYs8MMrxfyAoEr3xCdPonQXpCqmul,0,Texto,,,,,Total,0,0,64,,64,0,0,0,0,5,36,5,46,1880,1975,,,
538653158263238,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/13/2022 16:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0mKGrMbPUR6ijZcv3ZV8q49c4SkEcmF11wCm1ESkjNsjP1Fj5mACPFcP4fVsrXpzFl,0,Foto,,,,,Total,0,0,51,29,80,0,0,0,0,0,17,2,19,1358,1411,,,
540568738071680,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/15/2022 14:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02KDqfR31dUdShUGZ9Lm1CGwH7G84XJ9z29m2dn7BwPKEU9BVZC8R4gCqegCXU5TCwl,0,Foto,,,,,Total,0,0,133,229,368,0,0,0,0,1,94,17,112,3630,3821,,6,
544808414314379,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/20/2022 09:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02VrspG7GGmRrGtLUHoNRvxvJJ9znjWYHW8DFCKJzN9Ydx1Peevx2zmiBwrnSWz44rl,0,Foto,,,,,Total,0,0,172,152,324,0,0,0,0,4,78,9,91,3187,3238,,,
545076490954238,103185414664070,"Philosophical Gym Bro","Wild Green Memes for Ecological Fiends",,0,"10/20/2022 17:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0ZePZjTYLP4c9pVkSNZBCrD2YeLNsxxgpqG4Wwk6iuc3bUwWc3bKDm3sRYvymwCPpl,0,Otro,,,,,Total,0,0,81,131,212,0,0,0,0,0,92,17,109,1948,2018,,,
545141644281056,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/20/2022 19:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0ezezHEk3t3qiQePd67PhzN8w17cGvQGxk7j9pF9x1WacYGA4yPTcrinPpsuvyrryl,0,Foto,,,,,Total,0,0,129,127,259,0,0,0,0,7,65,8,80,2819,2863,,3,
545906324204588,103185414664070,"Philosophical Gym Bro",,,0,"10/21/2022 16:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02uSjVtXKUbMy78LCJ87uCpNydaB5a7RJbg7Po9HE25mzd7Df2Xoc26SPfHQavNiEdl,0,Texto,,,,,Total,0,0,285,,285,0,0,0,14446.36,6,85,0,91,1902,1923,,,
546017064193514,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/21/2022 20:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02T6mu4zpfmt4vvMe8id6NWQj9aB5B2Cy7YKHcnD3oHtHfr2hSRhR7jYBrvjsanAJJl,0,Foto,,,,,Total,0,0,69,153,222,0,0,0,0,0,60,14,74,2514,2566,,,
546028350859052,103185414664070,"Philosophical Gym Bro","Sigmund Freud's Dank Meme Stash 2: Daddy's Return",,0,"10/21/2022 20:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0ecNqd8R8LCekACufNc296ALicTmX8Gcm7HyBMD4eMSvtzAwQuUkE6tRwWirw9cnSl,0,Otro,,,,,Total,0,0,202,148,350,0,0,0,0,1,82,10,93,2693,2731,,,
546045404190680,103185414664070,"Philosophical Gym Bro",,OC,0,"10/21/2022 20:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02H3vM3MoV4nSDExFdFFcRMwEd9VMH1mKwnk7eVTVhMLabemj3XHoWRuXXQWcnWTeJl,0,Foto,,,,,Total,0,0,3772,6032,9804,0,0,0,0,67,1998,298,2363,93755,95313,1,,
546604777468076,103185414664070,"Philosophical Gym Bro",,OC,0,"10/22/2022 11:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02vjKkLwoYfpFr5qck2bq3tispNx5B4ozNj1RUUn6vrcqD6RcFXqPds68kxQy4bV7Hl,0,Foto,,,,,Total,0,0,118,39,157,0,0,0,0,1,43,3,47,2077,2136,,,
547699394025281,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/23/2022 17:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Z5BwKrqnZhbTyCdiDmP6QW2qfWosmrhRwD7usXVwnizXxZfahfkdJzAMLT7snDdql,0,Foto,,,,,Total,0,0,165,350,521,0,0,0,0,3,147,26,176,3802,3906,,6,
547704190691468,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/23/2022 17:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0sHUFHHY9Bpg5CzqcUwUMcXFKwBKjtaLwqiFc3FHXQWp94sPWXFYYwQvNBAKCRyc7l,0,Foto,,,,,Total,0,0,139,171,310,0,0,0,0,0,156,19,175,3381,3432,,,
548506997277854,103185414664070,"Philosophical Gym Bro",,,0,"10/24/2022 14:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Y22mX8YtqV3yAWg69zyLJtxS72iCUiNXTKwE75fDsR6aqqM2gqCzrMPK1kpUqXUkl,0,Texto,,,,,Total,0,0,103,154,257,0,0,0,0,1,31,4,36,1830,1880,,,
550339723761248,103185414664070,"Philosophical Gym Bro",,"The two figures in the background represent his internal demons, mocking him for his ignorance.",0,"10/26/2022 12:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02A4kWqTjcpQkvqdhu2vxVrSq1AX5cswnMgTZ3AfzdL6MBnSQKnWJt4kWCm9tbgx7Cl,0,Foto,,,,,Total,0,0,4,10,14,0,0,0,0,0,16,1,17,896,952,,,
550481423747078,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/26/2022 16:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02MUEf3nXS7TjC4XtF3dt4Gr55RtjLH6HNsXpFYXwgVeWUCs3MTisgj8AyEoQPkUQ9l,0,Foto,,,,,Total,0,0,92,255,347,0,0,0,0,1,43,3,47,1739,1752,,,
550681253727095,103185414664070,"Philosophical Gym Bro",,"OC. I believe this quote comes from Seminar 22...",0,"10/26/2022 22:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02JMbwKoqJRoYuYkHYoSfyMFdjjqQiUZGHEbM1LV3BZwASdWDZTSt4suztBKqxzBqGl,0,Foto,,,,,Total,0,0,307,185,492,0,0,0,0,13,198,27,238,6333,6513,,,
551306113664609,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/27/2022 13:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0Gm6v88qFh93wdmYXRkBbNhzBBQ58UZj7q41DTUsx54UMuwrcobvVwAPutv4wqsNWl,0,Foto,,,,,Total,0,0,286,311,597,0,0,0,0,12,334,69,415,4704,4839,1,,
551433310318556,103185414664070,"Philosophical Gym Bro",,"Semi-Autobiographical O.C.",0,"10/27/2022 16:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0HLrCqzgiPt8NtjgS4BCNc66cEoC2R7qhDnowjaZBWNwSCQr3PT1bx3dzvHqWbpTpl,0,Foto,,,,,Total,0,0,2042,1012,3055,0,0,0,0,68,271,46,385,9424,9424,2,1,
551454290316458,103185414664070,"Philosophical Gym Bro",,OC,0,"10/28/2022 05:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0bkVD9GyU926tTdVjxDsAy9EPCYyKoJh6yQFFgFaEvTahn9LF5byFCQwWtNuXYPvEl,0,Foto,,,,,Total,0,0,27,2,29,0,0,0,0,1,15,1,17,329,347,,,
551645086964045,103185414664070,"Philosophical Gym Bro",,"Submitted by a fan",0,"10/29/2022 05:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0284LFLBYmLRjxt4qAT39wkz5QvnhhA3VsDWmSwZgiyeHNMmU9GPvfhXZtZWN7ZpkKl,0,Foto,,,,,Total,0,0,30,,30,0,0,0,0,1,21,0,22,248,272,,,
